맡겨도 돼||LOOPTOP||R&B||608
Heaven's Door (Feat. Nucksal)||NUZ (누즈)||R&B||838
썸바디||이요한 (OFA)||R&B||52
Intoxicated||PEBBLE||R&B||598
이제 우린||빈센트||R&B||365
용기 (Feat. 규영)||도우진||R&B||24
We Could||검정가죽||R&B||144
널 따라가 (Feat. Remics)||충완||R&B||838
슬픔을 감출수 있나요 (Can't Hide Sadness)||리노 (Lino)||R&B||366
빰밤밤밤||시미제이 1호점 (Simmy J 1호점)||R&B||443
WCML (Feat. HAKUNA)||천세훈||R&B||911
Save Me||아임 (I'M)||R&B||546
Temptation (Feat. Mutang)||Zodiac (조디엑)||R&B||971
LIE (거짓말)||Milady||R&B||571
Usual Day||새모 (SEMO)||R&B||380
Baby Baby||adamHan (정준일)||R&B||192
밤 새 (Feat. 기쁨)||반에스틴 (Ban Estin)||R&B||202
Cliche||전지윤 &amp; 서사무엘 (Samuel Seo)||R&B||404
봄이 온 걸까?||조인 (ZOIN)||R&B||119
Have A Good Time||윌콕스 (WILCOX)||R&B||17
따스한 바람||같이||R&B||387
Wanna Love You||폴킴||R&B||526
왠지 난 말야||다소나||R&B||129
NUNA (들이대) (Feat. Microdot)||오월 (Owol)||R&B||480
Emotion (이모션)||조지훈||R&B||597
Long Time||X.Q||R&B||379
그녀의 밤||이바다||R&B||96
우리 끝||맥켈리||R&B||988
시계 (Feat. 강고은)||도우진||R&B||631
불어온 바람, 기다린 설렘||박예나 (Yena)||R&B||671
전화통화||장지연 &amp; 이형근||R&B||870
예전엔 (Rewind)||로이도 (Roydo)||R&B||969
취해도 돼||JERO||R&B||859
꽉차있어 (Feat. 현수)||서재 (suhjae)||R&B||320
5분만 더 (Feat. 빈지노)||산체스||R&B||453
내려앉아||정현우||R&B||358
Best Mistake (K)||아이디 (Eyedi)||R&B||852
새모습생활일기 (GREEN DIARY)||ESBEE||R&B||132
Stay (Feat. 유혜린 &amp; SCAGE)||ZIDAL (지달)||R&B||815
그 품에 (Feat. 은주)||채민||R&B||372
바래||Holiday (할리데이)||R&B||358
좋아보여 (Feat. 스틸로)||Tember||R&B||427
알콜 (Alcohol)||PrinCy (프린씨)||R&B||351
할말이 있다고 했어||미드나잇키스 (MidnightKeith)||R&B||970
애매해 (Feat. 버벌진트)||프리티 브라운||R&B||836
Yellow||민제 (Minje)||R&B||172
그리워요 (Girlfriend)||헨리 (HENRY)||R&B||843
Tonight||Leo||R&B||774
COME COME||걸스온탑 (GIRLS ON TOP)||R&B||473
Bedtime Story (Feat. 최희영)||창노||R&B||796
무너지지마요||빌립||R&B||427
Winter Breeze||Whoo(후)||R&B||345
For You||허니 스크램블||R&B||323
머릿속만 고문해 (I Miss You)||often||R&B||730
Come With Me||Flat Six (플랫 식스)||R&B||108
어지러워||강이채 (Echae Kang)||R&B||597
불러 본다||Maven||R&B||984
스무사랑 (Feat. 무아)||알케이 (Rk)||R&B||918
꼭 어제 일처럼 (Prod. by JQ)||파이 (Pi)||R&B||83
흘러||노래하는 베짱이||R&B||848
그댄 내맘 1도 몰라||홍단아||R&B||988
Andante||한슬||R&B||978
Tryin'||Raquel Rodriguez||R&B||279
Very (Feat. 최이켠)||신예||R&B||455
Hand||Noobe (누베)||R&B||935
네 생각에||동선호||R&B||432
내 마음이 그냥 쉬고싶을때 듣는 이 노래 (Feat. 함선화)||ENOCH||R&B||218
귀빠진 날||BenAddict (벤에딕트) &amp; Warmbo||R&B||246
Talking To Myself||리디아 리||R&B||235
너라면||아이지 (1.Z)||R&B||443
I Wanna Make U Wonder (Prod. by T.E.T.)||소울렛 (Soullette)||R&B||596
흠뻑 (Feat. $nak)||리쥐 (Li-G)||R&B||981
Mek me hot||김반장과 윈디시티||R&B||203
막말하지마 (Don't Speak)||메이다니 (MAYDONI)||R&B||802
잠버릇||donguy||R&B||708
Tell Ya Friends||커먼테일 (Common Tale)||R&B||898
벗어날 수 없어 (Feat. 빈디)||Chan.B||R&B||180
비가내려||이선규 &amp; 김규혁||R&B||464
Youth In The Air||여우들 &amp; 수하||R&B||170
Painkiller||누텔러 (NuTeller)||R&B||990
My Earth (Feat. 데이슨 of 조이어클락)||헤이데이 (HeyDay)||R&B||292
Lonely||초영 (Choyoung)||R&B||825
PM 5: 기대 (Count On You)||김형준||R&B||218
Mellow||차민영||R&B||37
말아요||김단비||R&B||437
Can't Find No Reason (Feat. DAVII)||NY.LA (나일라)||R&B||39
Like I Do||Cherry Coke||R&B||248
O1O||Risso (리소) &amp; Ban:jax (밴젝스)||R&B||567
Ha~ (Feat. 임규환)||이나봄||R&B||96
We||소울스타 (Soulstar)||R&B||128
너였다는 걸 (Feat. 권세한 &amp; Totor)||벤야민 (Benjamin)||R&B||139
Synapse (시냅스)||루카니 (Lucani)||R&B||875
Come Here||이규진||R&B||610
뛴다 (Feat. QM)||마우러스 (Maurus)||R&B||323
Lullaby (With 현준)||김현석||R&B||352
각 (Feat. JJK)||Del.Mo (델모)||R&B||928
Affogato||Dilli Jinn (딜리진)||R&B||637
별별||D.no (디노)||R&B||61
주의해 (Be Careful)||Wel.C (웰씨)||R&B||738
너로 가득해||ED (에드)||R&B||500
Daydreamer||사과와 고양이||R&B||594
Diffuser||이안킴 (Ian Kim)||R&B||339
겠지 (Feat. WINee)||2LSON(투엘슨)||R&B||508
그$ㅐ||Oscar $mith||R&B||157
Candle||GA EUN (가은)||R&B||36
골목 하나 사이 너와 나||소희||R&B||662
버스정류장 (Feat. 이형은)||로영||R&B||821
저녁보다 아침이 더 예뻐||NEON||R&B||781
Pick You Up (Remake)||Ryan||R&B||86
꽃샘추위 (Prod. by JQ)||승아 &amp; 한소아||R&B||664
Star (Feat. 87dance)||nov (노브)||R&B||997
다시 나랑 걷자 (Feat. 이지은)||임진아||R&B||155
Fall In Love (Feat. 유옥수)||김현희||R&B||217
사라질까봐||새벽세시||R&B||579
She's Mine||주희||R&B||489
It Will Work||Joon Soo||R&B||771
밥을먹고 TV를 보면서 (Feat. 미키드)||신케이||R&B||925
YOU||맥켈리||R&B||136
누군갈 사랑하고 있다면||리노 (Lino)||R&B||308
사랑해||문성진 (Moon Sungjin)||R&B||418
Tell Her||Xin Seha (신세하)||R&B||95
Bird Land||Noden (노든)||R&B||132
첫사랑을 부탁해||임팩트||R&B||793
Say, I||얼바나 (URBANA)||R&B||310
한마디||강정환||R&B||132
Mystery||DK(디셈버)||R&B||871
눈물나게||이시은 &amp; 정승환||R&B||266
Dear My Moon||손모아 (SONMOA)||R&B||468
Ella||윤범||R&B||266
Give And Take (Feat. 이지희 &amp; 정욱수)||마이 라스트 피앙세 (My Last Fiancee)||R&B||916
내 남자 이야기||CJ (이채정)||R&B||358
Let Me Love You||정기고 (Junggigo) &amp; 찬열 (CHANYEOL)||R&B||821
많이 사랑 했나보다||투빅||R&B||800
별일 없던 오늘||주보라||R&B||110
Baby It's You||죠소울 (Jawsoul)||R&B||485
Richard's Mille Run (Feat. Diano)||Astroboy||R&B||55
도둑놈 2017 (부제 : 너의 마음을 훔친 나) (Feat. 0512)||서경석||R&B||428
Feelings That I'm Missing||진보 (Jinbo)||R&B||599
PCH||자밀킴||R&B||293
터널 (Tunnel)||ZinHy||R&B||498
Fly Me To The Mood (데려다줘)||ESBEE||R&B||189
어때||Qwerty||R&B||705
Midnight In Paris||SOMA (소마)||R&B||624
WONDER LAND||YUN||R&B||469
Now||이지영 (빅마마)||R&B||63
BAD PARTY (Feat. Slyme Young)||Pink Ocean (핑크오션)||R&B||836
I See U (Feat. Microdot)||Dash||R&B||958
보이나요||나요 (NaYo)||R&B||384
Sorry Not Sorry (Feat. Beone)||D.Van||R&B||675
Alone||CHAPLYNN||R&B||252
Dive In||divin'||R&B||113
네게||양다일||R&B||552
Deja Vu||니아(Nieah)||R&B||121
넘어와 (Feat. 백예린)||DEAN||R&B||458
How Can I||니은 (Nieun)||R&B||390
마음소리||로건 (Logan)||R&B||48
그 땔 살아 (Feat. 권진아)||이든 (EDEN)||R&B||418
TEMP-TON||Horim||R&B||174
Alive||마크엘 (MARK-L)||R&B||306
Tell Me||티썬 (TSUN)||R&B||277
너에게로 간다||해림||R&B||705
Satellite||이지수||R&B||331
It's Alright (Feat. MINI)||매트루스 (MATROOS)||R&B||474
뚜벅뚜벅||피봇 (Pivot)||R&B||824
Empty||여우들 &amp; 수하||R&B||882
비 마이 (BE MY) (Feat. Freelow)||설아 (Seol.A)||R&B||290
Forget Him (Feat. Hash Swan)||Chillo (칠로)||R&B||241
YES or NO||레비엠 (Levi M)||R&B||974
어울리지 못해 (Feat. 강철)||원써겐 (1sagain)||R&B||26
Love Loop (Korean Ver.)||문정환||R&B||571
Satisfy||비니셔스 (Vinicius)||R&B||157
Episode||보니||R&B||864
Officially Missing You||김윤희||R&B||595
Snowball||PERC％NT||R&B||641
So Sweet (Prod. by 리치) (Feat. 1KYNE &amp; LX)||UNFAIR||R&B||456
눈을감아||혜이||R&B||555
NERD GIRL||박혜경 &amp; 롱디 (LONG:D)||R&B||112
너 없는 시간||인콤마 (INCOMMA)||R&B||1
MWAH (므와)||HUS (허밍어반스테레오)||R&B||286
눈이 올 것 같아 (Prod. by 러블리벗)||Keep||R&B||443
Lovely Day (Acoustic Ver.) (Feat. Soulman)||Miles||R&B||758
Calendar||김댕 &amp; 영서||R&B||622
머피의법칙 (Vocal 최수빈)||김남규||R&B||549
왜 그대 (Why'd You)||제이스틴 (ZAYSTIN)||R&B||344
요즘 어때?||Rosoulful||R&B||52
싶어||천명환 (:P)||R&B||25
I Got What You Like||Zodiac (조디엑)||R&B||876
TRAUMA||Cozi||R&B||265
스토커||1NB (원앤비)||R&B||608
I'm Sorry||On Air||R&B||698
Love Again||김제훈||R&B||420
Memory||비볼드 (Be Bold)||R&B||349
Lost||Bracy||R&B||747
사랑해 (Wedding Song)||박봄슬 &amp; 황석규 (타이틀즈)||R&B||321
10년 전 오늘...||제이원 (J1)||R&B||880
Black Out (Feat. 피온)||플래너스 (Planners)||R&B||731
홀로 널 생각하던 날들 (With 진효정)||송키 (SONGKEY)||R&B||633
Y (Feat. FanC)||염지성||R&B||245
너라서 좋다||피아노맨 (김세정)||R&B||401
노래||Zion.T||R&B||79
심심해||차은주||R&B||446
사라져||GATH &amp; MAEUM||R&B||21
Knock It Off||HAX (학스)||R&B||778
Love Thee (Remix)||Grey Day||R&B||392
Paralysis||신나라||R&B||52
Lovesong||T.Y||R&B||290
oi (Prod. by Wookey)||LUVAN (러반)||R&B||693
Dream||케이시 (Kassy)||R&B||252
BROKEN||원웨이 (Oneway)||R&B||563
솔직한 연애 (Feat. 세븐루트)||한지은||R&B||278
Think About' Chu (Prod. by 박근태)||샘김 &amp; 로꼬||R&B||546
